en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	
equitable share	[SDR]																	справедливая доля																	
equity buyout		buyout																выкуп																	
equity capital inflow																		приток акционерного капитала																	
equity financing		equity finance																финансирование за счет акционерного капитала		финансирование за счет собственных средств		финансирование за счет выпуска акций													
equity income																		доходы от акционерного капитала																	
equity investment																		инвестиции в акционерный капитал																	
equity issue	[SDR allocation]																	проблема справедливого распределения СДР																	
equity loan																		ссуда в форме участия в акционерном капитале																	
equity market		stock market																рынок акционерного капитала																	
equity oil		profit oil																«прибыльная нефть»																	
equity option		stock option																опцион на акции																	
equity ownership		equity participation		equity interest		equity share												право собственности на акционерный капитал		участие в акционерном капитале															
equity participation note		EPN																инструменты, обеспечивающие участие в капитале																	
equity portfolio																		портфель акций																	
equity position																		сумма инструментов участия в капитале																	
equity risk																		фондовый риск																	
equity security																		ценная бумага, обеспечивающая участие в капитале																	
equity swap																		своп акций																	
equity transaction																		операция с акционерным капиталом																	
equity		equity capital																собственный капитал		акционерный капитал		участие в капитале		инструменты участия в капитале											
equity-like instrument																		инструмент, подобный инструменту участия в капитале																	
error-correction model	[econometrics]	ECM																модель исправления ошибок																	
ESAF arrangement	[IMF]																	договоренность по ЕСАФ																	
ESAF successor	[IMF]	successor facility																механизм, пришедший на смену (ЕСАФ)		преемственный механизм															
ESAF Trust Loan Account		Loan Account																Счет ссуд																	
ESAF Trust loan	[IMF-ESAF]	Trust loan																ссуда из Трастового фонда ЕСАФ																	
ESAF Trust Reserve Account		Reserve Account																Резервный счет																	
ESAF Trust Subsidy Account		Subsidy Account																Счет субсидий																	
ESAF-HIPC Trust Account	[IMF]																	Трастовый счет ЕСАФ-ХИПК																	
escalator clause		escalation clause																оговорка о скользящих ценах		оговорка о повышении заработной платы															
escape clause																		оговорка об освобождении	[от обязательств, ответственности]																
escrow account	[IMF/WB; HIPC]																	условно-блокированный счет		счет условного депонирования		счет "эскроу"													
escrowed grant	[ESAF-HIPC]																	грант, депонированный в МВФ																	
escrowed loan	[ESAF-HIPC]																	ссуда, депонированная в МВФ																	
ESF Subsidy Account	[IMF]																	Счет субсидий ЕСФ																	
ESF-PRGF Subsidy Account	[IMF]																	Счет субсидий ЕСФ-ПРГФ																	
essential goods																		товары первой необходимости																	
establishment	[BPM5; SNA93]																	заведение	[СНС, СГФ]																
estate duty		estate tax																налог на наследство																	
estate, inheritance, and gift taxes																		налоги на наследство, наследование и дарение																	
estimated expenditure																		оценка расходов																	
Ethics Committee	[IMF, Executive Board]																	Комитет по этическим вопросам																	
Ethics Office	[IMF-OMD]																	Отдел по вопросам этики																	
EU Policies Division	[EUR/EU]																	Отдел политики ЕС																	
Eurepo																		Еврорепо																	
euro																		евро																	
euro area core countries		core countries		euro area core		core economies		core Europe										страны центра зоны евро		страны центра															
euro area		euro zone		eurozone														зона евро		еврозона															
Euro Plus Pact																		пакт «Евро плюс»																	
Eurobond																		еврооблигация																	
Eurobond issue																		выпуск евровалютных облигаций																	
Eurobond market																		рынок еврооблигаций																	
Eurocommercial paper	[BPM5]	ECP		Euro-CP														еврокоммерческие ценные бумаги																	
Eurocredit		Eurocurrency loan																еврокредит																	
Eurocurrency																		евровалюта																	
Eurodollar	[SNA93]																	евродоллар																	
Eurogeddon																		Еврогеддон																	
euroization																		евроизация																	
Euromarket																		евровалютный рынок																	
Euronote																		евронота																	
Europe and Central Asia		ECA																Европа и Центральная Азия		ЕЦА															
Europe Regional Division	[MCM/R3]																	Отдел региона Европы																	
European bailout fund																		Европейский фонд экстренной помощи																	
European Bank Coordination Initiative		EBCI		Initiative for Coordination of European Banks		Vienna Initiative												Европейская инициатива по банковской координации		Инициатива по координации действий европейских банков															
European Bank for Reconstruction and Development		EBRD																Европейский банк реконструкции и развития		ЕБРР															
European Banking Authority		EBA																Европейская банковская организация																	
European Central Bank		ECB																Европейский центральный банк		ЕЦБ															
European Coal and Steel Community		ECSC																Европейское объединение угля и стали		ЕОУС															
European Council	[EU]																	Европейский совет																	
European Crisis Resolution Mechanism		ECRM																Европейский антикризисный механизм																	
European Currency Unit		ECU																европейская валютная единица		ЭКЮ															
European Department	[IMF]	EUR																Европейский департамент		ЕВР															
European Development Fund		EDF																Европейский фонд развития		ЕФР															
European Division	[ICD/EU]																	Отдел стран Европы																	
European Economic Area		EEA		European Economic Space														Европейское экономическое пространство		ЕЭП															
European Economic Community		EEC																Европейское экономическое сообщество		ЕЭС															
European Financial Stability Facility		EFSF																Европейский фонд финансовой стабильности		ЕФФС															
European Financial Stability Framework Exercise		EFFE																процедура Европейской системы финансовой стабильности																	
European Financial Stabilization Mechanism		EFSM																Европейский механизм финансовой стабилизации																	
European Free Trade Area																		Европейская зона свободной торговли																	
European Free Trade Association		EFTA																Европейская ассоциация свободной торговли		ЕАСТ															
European Insurance and Occupational Pension Authority		EIOPA																Европейский орган надзора за деятельностью страховых компаний и пенсионных фондов																	
European Investment Bank		EIB																Европейский инвестиционный банк		ЕИБ															
European Monetary Cooperation Fund		EMCF																Европейский фонд валютного сотрудничества		ЕФВС															
European Monetary Institute		EMI																Европейский валютный институт		ЕВИ															
European Monetary System		EMS																Европейская валютная система		ЕВС															
European Monetary Union		EMU																Европейский валютный союз																	
European narrow margins arrangement		snake in the tunnel		snake system		currency snake system		multicurrency intervention system										соглашение стран Европы об ограничении колебаний валютных курсов		"змея в туннеле"		мультивалютная интервенция													
European Network on Debt and Development		EURODAD																Европейская сеть по проблемам задолженности и развития		ЕВРОДАД															
European periphery																		европейская периферия		страны европейской периферии															
European Securities and Markets Authority		ESMA																Европейское управление по ценным бумагам и рынкам		ЕУЦБР															
European Semester																		европейский семестр																	
European Social Fund	[EC]	ESF																Европейский социальный фонд		ЕСФ															
European Stability Mechanism		ESM																Европейский механизм стабильности		ЕМС															
European Stabilization Mechanism		ESM																Европейский механизм стабилизации																	
ECM		European System of Central Banks	[EU]	ESCB		Eurofed												Европейская система центральных банков		ЕСЦБ															
European System of Financial Supervisors		ESFS																Европейская система органов финансового надзора																	
European Systemic Risk Board		ESRB																Европейский совет по системным рискам		ЕССР															
European Union		EU																Европейский союз		ЕС															
European-style option	[securities market]	European option																европейский опцион																	
eurosclerosis		euro sclerosis																евросклероз																	
Eurosystem																		Евросистема																	
Evaluation Committee	[IMF, Executive Board]	EVC																Комитет по вопросам оценки																	
evaluation report																		доклад об оценке																	
even par swap																		равнопаритетный своп		своп по равной номинальной стоимости															
evenhandedness																		беспристрастность		справедливость															
event of default	[London Club]																	событие дефолта		невыполнение условий															
event study methodology																		методология изучения событий																	
evergreen loan																		возобновляемый кредит																	
evergreening of loans	[banking]	evergreening of bad accounts																пролонгация (недействующего) кредита путем оформления нового кредита																	
"Everything But Arms" Initiative		EBA																инициатива "Все, кроме оружия"																	
Evian approach																		Эвианский подход																	
ex ante																		предполагаемый		ожидаемый		предварительно													
ex ante forecast																		перспективный прогноз		прогноз ex ante															
ex post assessment of Fund-supported programs		Ex Post Assessment		EPA														оценка фактических результатов программ, поддерживаемых ресурсами МВФ		ретроспективная оценка программ, поддерживаемых ресурсами МВФ		ЕПА		ЭПА											
ex post evaluation	[IMF]	EPE																ретроспективный анализ																	
exceptional circumstances clause	[IMF, access limit]																	оговорка об исключительных обстоятельствах																	
exceptional financing	[BPM5; BPM6]																	исключительное финансирование																	
excess (plant) capacity																		избыточная мощность (предприятий)																	
excess capacity																		избыточные мощности																	
excess capital formation		excess capital accumulation																избыточное накопление капитала																	
excess demand																		избыточный спрос																	
excess employment																		избыточная занятость																	
excess expenditure																		перерасход (бюджетных средств)																	
excess holding ratio	[SDR]																	коэффициент избыточных авуаров																	
excess profit		economic profit		supranormal profit														сверхприбыль																	
excess purchasing power																		избыточная покупательная способность																	
excess reserves																		избыточные резервы																	
excess tax burden		excess burden		deadweight loss		efficiency loss												избыточное бремя (налога)		потеря эффективности в связи с налогом															
Excessive Deficit Procedures		EDP																процедуры в случае чрезмерного дефицита																	
exchange allocation																		распределение валюты																	
exchange arrangement		exchange rate arrangement		exchange rate regime		exchange system												курсовые режимы		валютный режим		режим обменного курса		валютная система		курсового режима		режимом регулируемого обменного курса							
exchange arrangements with no separate legal tender	[IMF exchange rate classification system, 2006]																	валютный режим без отдельного законного средства платежа																	
exchange contract																		валютный контракт																	
exchange control		exchange restriction																валютный контроль		валютное ограничение															
Exchange Equalization Account	[GBR]	EEA																счет выравнивания валютного курса																	
exchange house		exchange bureau																пункт обмена валюты																	
exchange profits	[GFSM; GFSY]																	курсовая прибыль																	
exchange rate anchor	[IMF monetary policy framework classification system, 2006]																	валютный "якорь"		курсовой "якорь"															
exchange rate differential																		разница валютных курсов		дифференциал валютных курсов															
exchange rate future																		валютный фьючерс																	
exchange rate management																		регулирование обменного курса																	
Exchange Rate Mechanism II		ERM II																второй курсовой механизм		механизм валютных курсов II		МВК-2													
Exchange Rate Mechanism	[EMS]	ERM		Exchange Rate Mechanism I		ERM I												курсовой механизм		механизм валютных курсов	[ЕВС]	МВК													
exchange rate misalignment																		несбалансированность валютных курсов																	
exchange rate overshooting		currency overshooting																чрезмерная корректировка валютного курса																	
exchange rate pass-through		ERPT		pass-through to inflation														перенос валютного курса на цены		передача воздействия валютного курса		передача воздействия валютного курса (на внутренние цены)		воздействие валютного курса на инфляцию											
exchange rate policy		exchange policy		foreign exchange policy														курсовая политика		политика в области валютного курса															
exchange rate realignment		currency realignment																пересмотр валютных курсов		корректировка (курсов) валют															
exchange rate targeting		exchange rate targeting strategy																установление целевых показателей обменных курсов		таргетирование валютных курсов		стратегия, основанная на целевых показателях обменных курсов													
exchange rate		rate of exchange																обменный курс		валютный курс															
exchange rates within crawling bands	[IMF exchange rate classification system, 2006]																	обменные курсы в рамках скользящих коридоров																	
exchange reserves		foreign exchange reserves																валютные резервы																	
exchange risk																		валютный риск																	
exchange risk insurance		foreign exchange insurance		exchange insurance														страхование валютного риска																	
exchange stability																		валютная стабильность																	
exchange valuation adjustment																		корректировка стоимости валюты																	
exchange		foreign currency		foreign exchange		forex												иностранная валюта		валюта															
exchange-traded fund		ETF		tracker														индексный фонд, котируемый на бирже		биржевой индексный фонд		БИФ													
excise tax		excise																акциз		акцизный сбор		акцизы													
excluded holdings	[IMF]																	исключенные авуары																	
exclusive economic zone		EEZ																исключительная экономическая зона		ИЭЗ															
Executive Board and Member Services Section	[SEC/AI/BM]	EBMS																Секция по обслуживанию Исполнительного совета и государств-членов																	
Executive Board Room	[IMF-SEC]	Board Room																Зал заседаний Исполнительного совета																	
Executive Board	[IMF]	Board																Исполнительный совет																	
Executive Dining Room	[IMF]																	Ресторан																	
Executive Director	[IMF-OED]	ED																исполнительный директор																	
Executive Director, Alternate	[IMF-OED]																	заместитель исполнительного директора																	
Executive Secretary	[IMF-IBRD, Development Committee]																	исполнительный секретарь																	
executive session	[IMF, Executive Board]																	закрытая сессия																	
executive summary																		резюме для руководства																	
exercise an option																		исполнить опцион																	
exercise of a financial derivative																		реализация производного финансового инструмента																	
exercise price	[options]	striking price		strike price		contract price												цена исполнения																	
exhaustible resource																		невозобновляемый ресурс																	
exit agreement	[debt restructuring]																	соглашение о "выходе"		соглашение о завершении процесса переоформления		задолженности													
exit bank	[debt restructuring]																	банк, прекращающий участие																	
exit bond	[debt restructuring]	exit instrument																облигация "выхода"		инструмент "выхода"															
exit consent	[debt restructuring]																	соглашение о "выходе"																	
exit from monetary and fiscal stimulus																		прекращение мер денежно-кредитного и бюджетного стимулирования																	
exit policy																		политика "выхода"																	
exit rescheduling	[Paris Club]																	окончательный пересмотр графика "выхода"																	
exit strategy	[exchange rate pegging]																	стратегия "выхода"																	
exogenous shock																		экзогенный шок																	
Exogenous Shocks Facility		ESF		shocks facility														механизм финансирования для преодоления внешних шоков		ЕСФ															
exogenous variable																		экзогенная переменная																	
expansionary impulse																		мера по увеличению расходов																	
expansionary policy																		политика (денежно-кредитной, бюджетной) экспансии		экспансионистская политика		экспансивная политика		расширительная политика											
expectation date	[IMF repurchases]																	дата ожидаемого выкупа																	
expected economic lifetime		expected economic life																ожидаемый срок службы																	
expected rate																		ожидаемые темпы		предполагаемые темпы															
expected utility		EU																ожидаемая полезность																	
expected value	[statistics]	EV		mathematical expectation														математическое ожидание																	
expenditure and lending minus repayments by economic type																		экономическая классификация расходов и кредитования минус погашение																	
expenditure authorization																		разрешение на расходование средств																	
expenditure by function	[GFS 1986]																	функциональная классификация расходов																	
expenditure commitment		commitment																обязательство		обязательство по расходам															
expenditure item	[GFS 1986]	expense item	[GFSM 2001]															статья расходов																	
Expenditure Policy Division	[FAD/EP]																	Отдел политики в области расходов																	
expenditure tax	[GFS 1986]																	налог на расходы																	
expenditure validation		validation																утверждение расходов		утверждение															
expenditure verification		verification																проверка																	
expenditure-reducing policy																		меры по сокращению расходов		политика сокращения расходов															
expenditure-restraining measures																		меры по ограничению роста расходов																	
expenditure-switching policy		switching policy																политика переориентации расходов		политика переориентации (расходов)															
expense		expenditure																расходы																	
expensing		immediate expensing		immediate write-off														списание на (текущие) затраты		прямое списание															
explanatory power	[economic models]																	объясняющая способность																	
explanatory variable	[economic models]																	независимая переменная		объясняющая переменная															
exponent																		экспонент																	
exponential function																		экспоненциальная функция																	
export capacity																		экспортный потенциал																	
export credit																		экспортный кредит																	
export credit agency	[Debt Guide, 1993; External Debt Statistics: Guide for Compilers and Users, 1993]	ECA																агентство по экспортным кредитам		АЭК															
export duty		export tax																экспортная пошлина																	
export earnings		export proceeds		export receipts														доходы от экспорта		экспортная выручка															
export markets																		экспортные рынки																	
export monopoly																		экспортная монополия																	
export performance																		показатели экспорта																	
export price	[for a specific product]																	экспортная цена																	
export processing zone		EPZ		industrial free trade zone		industrial free trade area												зона экспортной переработки																	
export promotion																		стимулирование экспорта																	
export retention scheme		foreign exchange retention scheme		foreign exchange retention														система удержания экспортером части валютной выручки																	
export shortfall																		дефицит экспортных поступлений																	
export surplus																		превышение экспорта над импортом		активное сальдо торгового баланса															
exporters of manufactures																		страны-экспортеры промышленной продукции																	
exporters of primary products																		страны-экспортеры сырьевой продукции																	
exporters of services and recipients of private transfers																		страны-экспортеры услуг и получатели частных трансфертов																	
Export-Import Bank of the United States	[USA]	EXIMBANK																Эксимбанк США																	
exporting industry																		экспортная отрасль																	
export-led recovery																		экономический подъем за счет экспорта																	
ex-post	[economics]																	фактический																	
extendable bond																		облигация с продлеваемым сроком																	
extended arrangement charge	[IMF]																	сборы в рамках договоренности о расширенном кредитовании																	
Extended Arrangement	[IMF]	EA																договоренность о расширенном кредитовании		ЕА															
extended burden sharing	[IMF]	extension of burden sharing																расширенное распределение финансового бремени		расширение распределения финансового бремени															
Extended Credit Facility		ECF																расширенный кредитный механизм		ЕКФ															
Extended Fund Facility	[IMF]	EFF		Extended Financing Facility	[Sometimes used synonymously with Extended Fund Facility (which is the main official version)]	Extended Facility												механизм расширенного кредитования МВФ		ЕФФ		механизм расширенного кредитования													
extension flat fee																		фиксированная (дополнительная) плата за продлеваемый кредит																	
extension of expectations	[IMF]	extension of repurchase expectations		extension of a repurchase expectation														перенос срока ожидаемого выкупа		продление срока ожидаемого выкупа															
extension of Toronto terms																		расширение сферы применения условий Торонто																	
external account	[BPM5]																	счет внешних операций																	
External Accounts Unit	[FIN/AX/AP/EA]																	Служба внешних счетов																	
external adjustment																		внешнеэкономическая корректировка		корректировка во внешнем секторе															
external asset (assets owned abroad by residents)		foreign asset																внешний актив		иностранный актив															
external asset (assets owned by nonresidents)		foreign asset																внешний актив		иностранный актив															
external audit																		внешний аудит																	
External Audit Committee	[IMF]																	Комитет по внешнему аудиту																	
external audit mechanism, legal structure and independence of the central bank, financial reporting practices, internal audit mechanism, and the system of internal controls	[IMF, safeguards assessments]	ELRIC																механизм внешнего аудита, правовая структура и независимость центрального банка, методы финансовой отчетности, механизм внутреннего аудита и система внутреннего контроля		ELRIC															
external auditor																		внешний аудитор		внешнего аудитора															
External Balance Assessment methodology		EBA methodology																методология оценки внешней сбалансированности																	
external balance	[BPM5]																	сальдо внешних операций																	
external bond																		иностранная облигация		облигация внешнего займа															
external claim		foreign claim																внешнее требование		требование к нерезидентам															
external contingency element	[CCFF]	contingency element	[CCFF]															элемент финансирования на случай чрезвычайных внешних обстоятельств		элемент чрезвычайного финансирования		чрезвычайный элемент													
external debt ratio																		коэффициент внешнего долга		коэффициент внешней задолженности															
external debt		foreign debt																внешний долг		внешняя задолженность															
external disturbance																		нарушения, вызываемые внешними факторами																	
external financial assets	[SNA93]																	внешние финансовые активы																	
external financing	[SNA93]																	внешнее финансирование		внешнего финансирования															
external imbalance																		несбалансированность счетов внешних операций		внешний дисбаланс															
External Relations Department	[IMF]	EXR																Департамент внешних связей		ДВС															
external resource envelope																		объем внешних ресурсов																	
External Review Committee (on World Bank-IMF Collaboration)																		Комитет по внешней оценке (сотрудничества Всемирного банка и МВФ)																	
external sector		foreign sector																внешнеэкономический сектор		внешний сектор															
external sustainability																		внешнеэкономическая устойчивость		устойчивость платежного баланса															
External Sustainability Report		Sustainability Report																Доклад о внешнеэкономической устойчивости		Доклад по вопросам внешней устойчивости															
external viability																		внешняя жизнеспособность																	
External Web Division	[COM/EW]																	Отдел по внешнему веб-сайту																	
External Website Section	[COM/AI/EW]																	Секция внешнего веб-сайта																	
externality																		внешний эффект																	
extrabudgetary account		extrabudgetary fund		EBF														внебюджетный счет		внебюджетный															
extrabudgetary funds		EBFs																внебюджетные фонды																	
extractive industries																		добывающие отрасли																	
Extractive Industries Review		EIR																Обзор добывающих отраслей																	
Extractive Industries Transparency Initiative		EITI																Инициатива по обеспечению прозрачности в добывающих отраслях		ИОПДО															
extractive sector																		добывающие отрасли																	
extranet																		защищенный внешний веб-сайт																	
extraterritorial body	[BPM5]																	экстерриториальный орган																	
extreme poverty																		крайняя бедность																	
ex-works price		EXW price		ex factory price		factory (gate) price												цена "с завода"		цена "франко-завод"															
F&D		Finance & Development	[IMF]															Финансы & развитие		Ф&Р															
FABLES																		Франция, Австрия, Бельгия, Люксембург, Эстония и Словения																	
Facilities Chapeau paper																		рамочный документ о финансовых механизмах Фонда																	
Facilities Management Division	[CSF/DF]																	Отдел по управлению объектами																	
Facilities, Planning, and Development Section	[CSF/DF/FP]																	Секция управления объектами, планирования и развития																	
fact sheet	[IMF-COM]																	информационная справка																	
factor cost, at																		по факторным издержкам																	
factor endowment																		обеспеченность факторами производства																	
factor income from abroad																		факторный доход, получаемый из-за границы																	
factor income share		factor share																доли факторов производства		доли в сумме национального дохода															
factor income	[SNA93]																	факторный доход																	
factor inputs																		факторные ресурсы		факторные вводимые ресурсы															
factor payments																		платежи за факторы производства																	
factoring	[finance]																	факторинг																	
factor-price distortion																		искажения цен факторов производства																	
failed institution																		организация-банкрот		неплатежеспособная организация															
fair market value		market value		sale value		fair market price		fair price										рыночная стоимость		справедливая рыночная стоимость		стоимость реализации		справедливая цена		справедливая рыночная цена									
fair trade																		торговля на основе взаимной выгоды		честная конкуренция		добросовестная коммерческая/деловая практика													
fair value																		справедливая стоимость																	
fairness and evenhandedness																		справедливость и беспристрастность																	
fair-value accounting		FVA																учет по справедливой стоимости																	
Family Consultation and Referral Service	[IMF]																	Справочно-консультативная служба для семей сотрудников																	
family living expenses																		текущие расходы семей																	
farm gate price																		цена производителей сельскохозяйственной продукции																	
fatality rate																		уровень летальности		уровень смертности															
FATF-Style Regional Bodies	[FSSA]	FSRBs																региональные органы типа ФАТФ																	
fear of floating	[central banking]																	"боязнь плавания"		опасения, связанные с введением плавающего валютного курса															
feasibility study																		технико-экономическое обоснование		оценка эффективности инвестиционных проектов															
federal debt ceiling																		лимит федерального долга																	
Federal Deposit Insurance Corporation	[USA]	FDIC																Федеральная корпорация по страхованию депозитов		ФКСД															
federal funds interest rate		federal funds rate	[USA]															ставка по федеральным фондам																	
federal funds market	[USA]																	рынок федеральных фондов		рынок межбанковских ссуд в рамках ФРС															
federal funds	[USA]																	федеральные фонды		суточные межбанковские ссуды в рамках ФРС															
Federal Home Loan Mortgage Corporation		FHLMC		Freddie Mac														Федеральная корпорация жилищного ипотечного кредита																	
Federal Housing Finance Agency		FHFA																Федеральное агентство по жилищному финансированию																	
Federal National Mortgage Association	[USA]	FNMA		Fannie Mae														Федеральная национальная ассоциация ипотечного кредитования																	
Federal Reserve Bank	[USA]																	Федеральный резервный банк (банки)																	
Federal Reserve float	[USA]																	средства в расчетах между банками ФРС																	
Federal Reserve Open Market Committee		FOMC		Federal Open Market Committee	[USA]	Open Market Committee												Комитет по операциям на открытом рынке Федеральной резервной системы																	
Federal Reserve System	[USA]	Federal Reserve		Fed														Федеральная резервная система		ФРС															
feedback (process)																		обратная связь																	
feedback loop																		цикл обратной связи																	
fiat money		fiduciary money		fiat currency		central bank money												фидуциарные деньги		валюты, не обеспеченные золотом															
field audit		on-site supervision		on-site inspection														аудиторская проверка на месте		выездной надзор		выездная инспекция		надзор, инспекция на местах											
Field Security Office	[IMF-CSF/DA]	FSO																Отдел внешней безопасности																	
